date_de_tirage,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance,combinaison_gagnante_en_ordre_croissant
2024-12-08 00:00:00,41,1,18,16,13,3,1-13-16-18-41+3
2024-12-06 00:00:00,46,13,48,2,22,1,2-13-22-46-48+1
2024-12-02 00:00:00,46,17,36,35,18,4,17-18-35-36-46+4
2024-11-05 00:00:00,11,30,44,13,20,9,11-13-20-30-44+9
2024-11-03 00:00:00,49,44,31,33,40,1,31-33-40-44-49+1
2024-10-08 00:00:00,13,42,40,48,3,4,3-13-40-42-48+4
2024-10-07 00:00:00,36,23,24,31,32,8,23-24-31-32-36+8
2024-10-06 00:00:00,19,30,5,18,35,2,5-18-19-30-35+2
2024-10-04 00:00:00,16,48,18,24,6,9,6-16-18-24-48+9
2024-10-02 00:00:00,27,16,12,37,10,9,10-12-16-27-37+9
2024-10-01 00:00:00,14,39,17,44,36,5,14-17-36-39-44+5
2024-09-03 00:00:00,19,4,2,35,11,5,2-4-11-19-35+5
2024-08-14 00:00:00,30,2,38,16,31,5,2-16-30-31-38+5
2024-08-07 00:00:00,33,37,32,35,49,3,32-33-35-37-49+3
2024-08-06 00:00:00,43,2,33,23,47,2,2-23-33-43-47+2
2024-08-05 00:00:00,18,15,12,19,40,5,12-15-18-19-40+5
2024-08-04 00:00:00,7,1,26,22,15,3,1-7-15-22-26+3
2024-08-01 00:00:00,36,20,42,34,29,4,20-29-34-36-42+4
2024-07-31 00:00:00,15,42,41,44,8,10,8-15-41-42-44+10
2024-07-29 00:00:00,16,6,36,5,3,10,3-5-6-16-36+10
2024-07-27 00:00:00,42,35,31,32,13,5,13-31-32-35-42+5
2024-07-24 00:00:00,28,23,18,26,19,9,18-19-23-26-28+9
2024-07-22 00:00:00,35,19,6,27,14,10,6-14-19-27-35+10
2024-07-20 00:00:00,42,2,44,28,5,8,2-5-28-42-44+8
2024-07-17 00:00:00,16,12,27,30,2,2,2-12-16-27-30+2
2024-07-15 00:00:00,25,2,4,7,35,3,2-4-7-25-35+3
2024-07-13 00:00:00,6,2,44,33,21,4,2-6-21-33-44+4
2024-07-08 00:00:00,47,21,25,19,38,4,19-21-25-38-47+4
2024-07-02 00:00:00,14,25,47,7,42,5,7-14-25-42-47+5
2024-06-29 00:00:00,4,21,46,27,47,6,4-21-27-46-47+6
2024-06-26 00:00:00,23,31,15,38,17,4,15-17-23-31-38+4
2024-06-24 00:00:00,17,3,38,1,25,8,1-3-17-25-38+8
2024-06-22 00:00:00,14,31,7,28,2,3,2-7-14-28-31+3
2024-06-19 00:00:00,1,21,28,8,37,2,1-8-21-28-37+2
2024-06-17 00:00:00,45,17,27,48,34,2,17-27-34-45-48+2
2024-06-15 00:00:00,31,30,9,20,34,10,9-20-30-31-34+10
2024-06-07 00:00:00,37,4,12,9,18,3,4-9-12-18-37+3
2024-06-05 00:00:00,26,28,36,29,5,4,5-26-28-29-36+4
2024-06-04 00:00:00,5,45,22,26,33,9,5-22-26-33-45+9
2024-06-03 00:00:00,10,4,5,23,7,4,4-5-7-10-23+4
2024-06-01 00:00:00,32,18,8,36,30,5,8-18-30-32-36+5
2024-05-29 00:00:00,6,29,3,47,21,3,3-6-21-29-47+3
2024-05-27 00:00:00,25,28,39,47,31,8,25-28-31-39-47+8
2024-05-25 00:00:00,39,25,10,32,40,10,10-25-32-39-40+10
2024-05-22 00:00:00,28,37,44,11,7,3,7-11-28-37-44+3
2024-05-20 00:00:00,21,17,29,35,18,6,17-18-21-29-35+6
2024-05-18 00:00:00,26,4,27,47,28,8,4-26-27-28-47+8
2024-05-15 00:00:00,10,1,19,13,3,4,1-3-10-13-19+4
2024-05-13 00:00:00,27,18,49,37,48,10,18-27-37-48-49+10
2024-05-08 00:00:00,7,21,29,35,47,6,7-21-29-35-47+6
2024-05-06 00:00:00,26,11,38,20,33,10,11-20-26-33-38+10
2024-05-02 00:00:00,13,6,2,27,12,10,2-6-12-13-27+10
2024-04-29 00:00:00,39,38,8,31,45,8,8-31-38-39-45+8
2024-04-27 00:00:00,38,23,41,3,17,3,3-17-23-38-41+3
2024-04-24 00:00:00,46,42,1,4,3,3,1-3-4-42-46+3
2024-04-22 00:00:00,4,47,43,30,7,10,4-7-30-43-47+10
2024-04-20 00:00:00,33,16,1,32,45,6,1-16-32-33-45+6
2024-04-17 00:00:00,13,20,10,25,27,2,10-13-20-25-27+2
2024-04-15 00:00:00,45,46,4,36,18,5,4-18-36-45-46+5
2024-04-13 00:00:00,20,49,31,12,13,2,12-13-20-31-49+2
2024-04-05 00:00:00,2,13,20,30,37,6,2-13-20-30-37+6
2024-04-03 00:00:00,25,31,45,38,3,9,3-25-31-38-45+9
2024-03-30 00:00:00,9,24,18,49,39,8,9-18-24-39-49+8
2024-03-27 00:00:00,14,41,9,10,45,1,9-10-14-41-45+1
2024-03-25 00:00:00,28,47,26,38,17,7,17-26-28-38-47+7
2024-03-23 00:00:00,42,12,9,41,33,1,9-12-33-41-42+1
2024-03-20 00:00:00,35,26,13,45,20,3,13-20-26-35-45+3
2024-03-18 00:00:00,36,48,14,13,6,2,6-13-14-36-48+2
2024-03-16 00:00:00,33,13,28,18,42,9,13-18-28-33-42+9
2024-03-13 00:00:00,42,47,2,13,43,10,2-13-42-43-47+10
2024-03-08 00:00:00,1,48,27,49,37,1,1-27-37-48-49+1
2024-03-07 00:00:00,32,14,43,29,41,1,14-29-32-41-43+1
2024-03-06 00:00:00,19,4,10,42,46,5,4-10-19-42-46+5
2024-03-04 00:00:00,38,44,46,27,42,1,27-38-42-44-46+1
2024-03-02 00:00:00,15,24,37,40,41,4,15-24-37-40-41+4
2024-03-01 00:00:00,24,44,34,19,45,2,19-24-34-44-45+2
2024-02-28 00:00:00,2,16,4,20,35,5,2-4-16-20-35+5
2024-02-26 00:00:00,23,38,5,24,35,3,5-23-24-35-38+3
2024-02-24 00:00:00,38,18,3,24,29,9,3-18-24-29-38+9
2024-02-21 00:00:00,26,48,25,16,34,8,16-25-26-34-48+8
2024-02-19 00:00:00,33,43,39,6,29,2,6-29-33-39-43+2
2024-02-17 00:00:00,27,17,26,25,33,2,17-25-26-27-33+2
2024-02-14 00:00:00,3,11,35,13,15,3,3-11-13-15-35+3
2024-02-03 00:00:00,39,7,21,29,5,7,5-7-21-29-39+7
2024-01-31 00:00:00,4,30,15,49,45,3,4-15-30-45-49+3
2024-01-29 00:00:00,29,17,34,48,8,3,8-17-29-34-48+3
2024-01-27 00:00:00,32,44,40,17,38,6,17-32-38-40-44+6
2024-01-24 00:00:00,17,9,1,24,46,8,1-9-17-24-46+8
2024-01-22 00:00:00,22,23,14,42,16,5,14-16-22-23-42+5
2024-01-20 00:00:00,24,9,26,15,13,9,9-13-15-24-26+9
2024-01-17 00:00:00,19,26,13,27,24,7,13-19-24-26-27+7
2024-01-15 00:00:00,16,38,18,45,10,3,10-16-18-38-45+3
2024-01-13 00:00:00,32,14,35,46,11,10,11-14-32-35-46+10
2024-01-07 00:00:00,15,44,41,3,2,3,2-3-15-41-44+3
2024-01-06 00:00:00,49,45,25,10,19,1,10-19-25-45-49+1
2024-01-05 00:00:00,46,47,23,22,24,2,22-23-24-46-47+2
2024-01-04 00:00:00,12,1,40,28,26,6,1-12-26-28-40+6
2024-01-01 00:00:00,13,3,21,2,40,8,2-3-13-21-40+8
2023-12-30 00:00:00,38,23,45,24,44,6,23-24-38-44-45+6
2023-12-27 00:00:00,33,19,1,31,22,1,1-19-22-31-33+1
2023-12-25 00:00:00,29,5,20,8,32,3,5-8-20-29-32+3
2023-12-23 00:00:00,25,24,16,6,5,1,5-6-16-24-25+1
2023-12-20 00:00:00,32,47,43,35,15,10,15-32-35-43-47+10
2023-12-18 00:00:00,14,23,15,44,46,5,14-15-23-44-46+5
2023-12-16 00:00:00,4,15,11,36,33,2,4-11-15-33-36+2
2023-12-13 00:00:00,46,42,38,25,16,9,16-25-38-42-46+9
2023-12-08 00:00:00,14,1,34,19,4,2,1-4-14-19-34+2
2023-12-07 00:00:00,25,17,46,28,23,5,17-23-25-28-46+5
2023-12-06 00:00:00,16,18,45,38,31,8,16-18-31-38-45+8
2023-12-04 00:00:00,36,31,37,28,17,10,17-28-31-36-37+10
2023-11-29 00:00:00,27,47,24,39,46,9,24-27-39-46-47+9
2023-11-27 00:00:00,24,21,7,31,27,3,7-21-24-27-31+3
2023-11-25 00:00:00,47,4,2,14,34,2,2-4-14-34-47+2
2023-11-22 00:00:00,25,3,45,47,49,7,3-25-45-47-49+7
2023-11-20 00:00:00,20,22,32,34,31,7,20-22-31-32-34+7
2023-11-18 00:00:00,21,8,28,42,47,4,8-21-28-42-47+4
2023-11-15 00:00:00,40,11,18,8,47,2,8-11-18-40-47+2
2023-11-13 00:00:00,49,35,25,27,42,9,25-27-35-42-49+9
2023-11-12 00:00:00,5,30,16,47,15,7,5-15-16-30-47+7
2023-11-11 00:00:00,35,40,17,6,47,4,6-17-35-40-47+4
2023-11-10 00:00:00,4,10,30,38,24,10,4-10-24-30-38+10
2023-11-09 00:00:00,21,5,6,24,42,8,5-6-21-24-42+8
2023-11-03 00:00:00,16,3,5,39,11,9,3-5-11-16-39+9
2023-11-02 00:00:00,7,42,31,8,24,6,7-8-24-31-42+6
2023-11-01 00:00:00,46,13,47,18,34,5,13-18-34-46-47+5
2023-10-30 00:00:00,4,1,24,21,42,3,1-4-21-24-42+3
2023-10-28 00:00:00,22,7,28,6,3,7,3-6-7-22-28+7
2023-10-25 00:00:00,17,24,30,43,1,7,1-17-24-30-43+7
2023-10-23 00:00:00,21,10,38,41,25,8,10-21-25-38-41+8
2023-10-21 00:00:00,48,47,6,45,1,6,1-6-45-47-48+6
2023-10-18 00:00:00,10,34,25,38,29,3,10-25-29-34-38+3
2023-10-16 00:00:00,35,11,18,46,30,2,11-18-30-35-46+2
2023-10-14 00:00:00,28,6,11,46,25,2,6-11-25-28-46+2
2023-10-07 00:00:00,8,16,42,30,40,2,8-16-30-40-42+2
2023-10-06 00:00:00,28,3,6,33,13,4,3-6-13-28-33+4
2023-10-05 00:00:00,47,5,34,28,39,8,5-28-34-39-47+8
2023-10-04 00:00:00,35,39,18,43,31,7,18-31-35-39-43+7
2023-09-30 00:00:00,4,6,35,47,7,1,4-6-7-35-47+1
2023-09-27 00:00:00,9,15,39,49,48,7,9-15-39-48-49+7
